cmg,ccu,fai,mgl,mgs,cul,cus,kcu,kmg
0.019206487,0.019206487,0.016669076,0.033955185,0.010393988,0.038209492,0.003798455,0.0994113,0.306108999
0.048697712,0.048697712,0.002583034,0.073457629,0.023792539,0.004698043,0.000455616,0.096980032,0.323894735
0.049734304,0.049734304,0.009798968,0.078640059,0.025814243,0.019275737,0.001956762,0.10151423,0.328258184
0.010929928,0.010929928,0.008458624,0.032748599,0.010098378,0.060675217,0.006468554,0.106609483,0.3083606
0.0225177,0.0225177,0.033489742,0.025740335,0.007784014,0.039951713,0.003946025,0.098769862,0.302405319
0.027687081,0.027687081,0.022794436,0.065068113,0.022595771,0.094654329,0.013007093,0.137416783,0.347263351
0.046619523,0.046619523,0.00871363,0.083754378,0.027793599,0.02152016,0.002221218,0.103215682,0.331846516
0.02227868,0.02227868,0.028879007,0.057404269,0.022277687,0.142171205,0.028875807,0.203105872,0.388084155
0.018515132,0.018515132,0.003167519,0.056605986,0.017929283,0.027868847,0.002787605,0.100025855,0.316738291
0.015629285,0.015629285,0.025499823,0.042257462,0.01515787,0.135351733,0.023555046,0.174028405,0.358702799
0.027052125,0.027052125,0.016205788,0.073999691,0.027045291,0.105391789,0.016192804,0.153643887,0.365478424
0.025750543,0.025750543,0.024012468,0.045535079,0.014335337,0.055353776,0.005929279,0.107116063,0.314819628
0.002508744,0.002508744,0.046102048,0.005496663,0.00179723,0.143128697,0.022997066,0.160674038,0.326967532
0.034093572,0.034093572,0.013978307,0.0900486,0.033225153,0.088539158,0.012821127,0.144807419,0.368969125
0.027372135,0.027372135,0.025763082,0.069857889,0.02737105,0.132482491,0.025760356,0.194443477,0.391810441
0.014796828,0.014796828,0.018022476,0.042951099,0.014737105,0.118447685,0.017809445,0.150357057,0.343113568
0.014890749,0.014890749,0.036872486,0.016380464,0.004888411,0.041754136,0.004095804,0.098093364,0.298429341
0.029479393,0.029479393,0.017142574,0.077230523,0.028084615,0.099248056,0.014744328,0.148560373,0.363646569
0.050735097,0.050735097,0.00308587,0.130721419,0.048127787,0.021438544,0.002487629,0.11603535,0.36817063
2.58E-05,2.58E-05,0.047280869,5.99E-05,2.01E-05,0.158199555,0.028917907,0.182793858,0.336437853
0.022766559,0.022766559,0.028464024,0.03815945,0.0118794,0.059658201,0.006400852,0.107292078,0.311309518
0.029394852,0.029394852,0.019177275,0.077356031,0.02917718,0.112914025,0.01875185,0.166071926,0.377180416
0.01088952,0.01088952,0.039362837,0.028226394,0.010863472,0.165699344,0.039173018,0.23641022,0.384869262
0.001343219,0.001343219,0.023003272,0.003808786,0.001184662,0.122257422,0.0166204,0.135945942,0.311034158
